genome	organism	contigs	bases	tRNA	rRNA	CDS	tmRNA	repeat_region	OriginalName	Study_set	GenomeType	Sample_accession	Country	Continent	Host	Source	Disease	SamplingDate	Latitude	Longtitude	contigs_0_bp	contigs_1000_bp	contigs_5000_bp	contigs_10000_bp	contigs_25000_bp	contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largestcontig	Total_length	GC	N50	N75	L50	L75	Ns_per_100_kbp	Marker_lineage	Completeness	Contamination	Strain_heterogeneity	subdivision	lineages	letter	color
1001175st1_C3	Bacteroides	51	5684644	62	3	4895	2	3	GCA_005844845.1_ASM584484v1_genomic.fna	Genbank	Isolate	SAMN10863232	USA	North America	Homo sapiens	faeces	NA	14/03/2016	NA	NA	51	51	41	35	30	24	5684644	5684644	5659156	5623225	5556353	5335868	51	907546	5684644	43.79	291467	141594	5	12	19.02	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage C	C	#d58840
1001136B_160425_F11	Bacteroides	171	5466466	62	3	4614	1	1	GCA_019041775.1_NA_genomic.fna	Genbank	Isolate	SAMN15532774	USA	North America	Homo sapiens	faeces	NA	25/04/2016	NA	NA	170	169	42	33	28	23	5386214	5385226	5175185	5115780	5037205	4825170	170	570700	5386214	43.46	232347	121728	6	14	12.79	o__Bacteroidales_(UID2657)	99.26	0.12	0	1	lineage N	N	#b84ccb
1001254J_160919_G3	Bacteroides	1	5380874	74	18	4562	1	NA	GCA_016864615.1_ASM1686461v1_genomic.fna	Genbank	Isolate	SAMN15532424	USA	North America	Homo sapiens	faeces	NA	19/09/2016	NA	NA	42	42	36	34	30	24	5277783	5277783	5260586	5248189	5190791	4961925	42	706552	5277783	43.26	262112	140450	8	15	17.07	o__Bacteroidales_(UID2657)	99.26	0.87	0	2	NA	NA	NA
RCC1371	Bacteroides	262	5056453	68	3	4159	1	2	RCC1371	RCC	Isolate	904	Belgium	Europe	Homo sapiens	faeces	No	01/10/2016	50.87959	4.70093	262	46	37	31	28	23	5056453	4997005	4980965	4942992	4899496	4706496	55	633813	5002702	43.43	347224	140108	6	12	0	o__Bacteroidales (UID2657)	99.26	0.91	0	1	lineage C	C	#d58840
1001285H_161024_D4	Bacteroides	72	5178168	61	1	4295	1	1	GCA_018369215.1_ASM1836921v1_genomic.fna	Genbank	Isolate	SAMN15532440	USA	North America	Homo sapiens	faeces	NA	24/10/2016	NA	NA	41	41	35	31	26	23	5311203	5311203	5293636	5265926	5182422	5058591	41	776247	5311203	43.4	290737	155827	6	13	3.69	o__Bacteroidales_(UID2657)	99.24	0	0	1	origin	origin	#c9c493
RCC4853	Bacteroides	94	5017997	68	3	4153	1	2	RCC4853	RCC	Isolate	904	Belgium	Europe	Homo sapiens	faeces	No	01/11/2016	50.87959	4.70093	94	45	36	31	26	21	5017997	4998854	4974989	4943370	4856713	4672100	59	782983	5008764	43.43	347224	141253	6	12	0	o__Bacteroidales (UID2657)	99.26	0	0	1	lineage C	C	#d58840
RCC4873	Bacteroides	226	5034087	68	2	4149	1	2	RCC4873	RCC	Isolate	904	Belgium	Europe	Homo sapiens	faeces	No	01/12/2016	50.87959	4.70093	226	76	53	48	43	33	5034087	4993959	4945994	4913974	4826459	4454415	91	376711	5004610	43.43	177369	84088	12	22	0	o__Bacteroidales (UID2657)	99.26	0.19	0	1	lineage C	C	#d58840
RCC4896	Bacteroides	235	5047290	72	3	4158	1	2	RCC4896	RCC	Isolate	904	Belgium	Europe	Homo sapiens	faeces	No	01/01/2017	50.87959	4.70093	235	63	45	40	34	24	5047290	4999172	4963964	4934089	4829753	4439893	76	495995	5007640	43.43	217001	124401	8	16	0	o__Bacteroidales (UID2657)	99.26	0.5	0	1	lineage C	C	#d58840
Z_Z143	Bacteroides	41	5158698	62	6	4225	1	3	GCA_008086695.1_ASM808669v1_genomic.fna	Genbank	Isolate	SAMN11310039	Ecuador	South America	Homo sapiens	blood	Bacteremia	31-Jan-17	-0.175245	-78.517439	41	29	18	15	14	13	5158698	5153256	5131072	5112476	5098944	5065639	34	1260093	5156454	43.1	641857	277188	3	6	67.41	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage D	D	#c96744
HCK	Bacteroides	75	5252832	62	3	4443	1	1	GUT_GENOME147631	UHGG	Isolate	SAMN09729823	NA	NA	Homo sapiens	faeces	NA	03-Apr-17	NA	NA	75	61	43	38	32	25	5252832	5245472	5203574	5172594	5095883	4862711	67	525726	5249843	43.42	239494	129612	8	15	0.74	o__Bacteroidales_(UID2657)	99.26	0.19	0	1	origin	origin	#c9c493
D33t1_170424_C9	Bacteroides	89	5626867	73	3	4817	1	NA	GCA_015560515.1_ASM1556051v1_genomic.fna	Genbank	Isolate	SAMN15532926	USA	North America	Homo sapiens	faeces	NA	24/04/2017	NA	NA	70	70	53	44	35	26	5161885	5161885	5123661	5064944	4917350	4564127	70	661670	5161885	43.62	186264	107037	8	18	1.92	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
J1101004_170508_F3	Bacteroides	41	5063915	53	NA	4194	1	NA	GCA_905188165.1_ERR748050-mag-bin.3_genomic.fna	Genbank	Isolate	SAMN15532377	USA	North America	Homo sapiens	faeces	NA	08/05/2017	NA	NA	89	89	64	56	45	39	5626867	5626867	5568895	5506996	5299816	5080163	89	369567	5626867	43.42	137396	94772	14	27	26.32	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
BSD2780120874b_170522_C6	Bacteroides	10	5626424	74	18	4842	1	NA	GCA_016888645.1_ASM1688864v1_genomic.fna	Genbank	Isolate	SAMN15532846	USA	North America	Homo sapiens	faeces	NA	22/05/2017	NA	NA	67	67	49	45	40	34	5278842	5278842	5234601	5207420	5109103	4864399	67	385360	5278842	43.28	153120	104975	13	23	21.2	o__Bacteroidales_(UID2657)	99.26	0.12	0	2	NA	NA	NA
J1101437_171009_F3	Bacteroides	99	4931551	61	3	4058	1	1	GCA_019131615.1_ASM1913161v1_genomic.fna	Genbank	Isolate	SAMN15532816	USA	North America	Homo sapiens	faeces	NA	09/10/2017	NA	NA	33	33	24	21	20	19	5516929	5516929	5499899	5481687	5468299	5430546	33	684676	5516929	43.6	425665	260691	6	10	12.24	o__Bacteroidales_(UID2657)	99.26	0.37	0	2	NA	NA	NA
COR2_248_WT_1	Bacteroides	43	5289120	63	3	4429	1	1	GCA_012844105.1_ASM1284410v1_genomic.fna	Genbank	Isolate	SAMN14558244	Germany	Europe	Animal	faeces	NA	03-Mar-18	NA	NA	43	40	36	31	30	28	5289120	5287326	5276060	5240834	5229486	5135583	43	602508	5289120	43.26	188670	148022	9	16	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
BFR_KZ02	Bacteroides	89	5148042	60	5	4376	1	1	GCA_004798515.1_ASM479851v1_genomic.fna	Genbank	Isolate	SAMN11371867	Kazakhstan	Asia	Homo sapiens	pus	diffuse_peritonitis	21-Nov-18	51.17	71.44	89	41	33	30	26	24	5148042	5130026	5115148	5090262	5023004	4949910	48	732648	5135462	43.05	254934	141753	6	13	0	o__Bacteroidales_(UID2657)	98.08	0	0	1	origin	origin	#c9c493
BFR_KZ03	Bacteroides	530	5701116	61	8	5051	1	2	GCA_004798525.1_ASM479852v1_genomic.fna	Genbank	Isolate	SAMN11371868	Kazakhstan	Asia	Homo sapiens	pus	diffuse_fibrinopurulent_peritonitis	21-Nov-18	51.17	71.44	530	235	50	31	27	23	5701116	5599905	5218795	5087776	5023980	4881746	261	1044743	5621897	42.84	209814	121877	7	16	0	o__Bacteroidales_(UID2657)	98.57	0	0	1	origin	origin	#c9c493
BFR_KZ01	Bacteroides	840	5552690	62	5	4917	1	1	GCA_004798445.1_ASM479844v1_genomic.fna	Genbank	Isolate	SAMN11371866	Kazakhstan	Asia	Homo sapiens	pus	acute_gangrenous-perforated_appendicitis	06-Dec-18	51.17	71.44	840	171	44	36	30	24	5552690	5321446	5117372	5057874	4968294	4746766	236	536376	5377212	42.94	247541	116630	7	16	0	o__Bacteroidales_(UID2657)	98.33	0	0	1	origin	origin	#c9c493
D54t1_190329_B1	Bacteroides	64	5359295	59	3	4506	1	2	GCA_015553295.1_ASM1555329v1_genomic.fna	Genbank	Isolate	SAMN15532927	USA	North America	Homo sapiens	faeces	NA	29/03/2019	NA	NA	49	49	43	38	33	26	5084960	5084960	5068226	5034378	4946671	4630161	49	530673	5084960	43.22	216415	119062	9	17	9.2	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
BFR_KZ04	Bacteroides	128	4920846	60	5	4041	1	2	GCA_013694025.1_ASM1369402v1_genomic.fna	Genbank	Isolate	SAMN15547524	Kazakhstan	Asia	Homo sapiens	pus	acute_peritonitis	25/04/2019	51.1	71.26	128	128	128	94	52	35	4920846	4920846	4920846	4681950	3985776	3382949	128	442497	4920846	43.91	76853	33852	21	43	0	o__Bacteroidales_(UID2657)	97.96	0	0	1	lineage C	C	#d58840
BFR_KZ05	Bacteroides	77	5219927	64	3	4340	1	NA	GCA_013867505.1_ASM1386750v1_genomic.fna	Genbank	Isolate	SAMN15595113	Kazakhstan	Asia	Homo sapiens	pus	phlegmonous_appendicitis	25/05/2019	51.11	71.27	77	50	44	41	37	31	5219927	5206586	5189960	5166863	5101354	4840654	59	350801	5212530	43.36	181129	112357	11	20	1.86	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
BFR_KZ06	Bacteroides	41	5259406	65	7	4393	1	NA	GCA_014042505.1_ASM1404250v1_genomic.fna	Genbank	Isolate	SAMN15648893	Kazakhstan	Asia	Homo sapiens	pus	Peritonitis	27/05/2019	51.17	71.44	41	29	24	23	21	20	5259406	5253552	5241464	5234459	5206846	5157182	32	872623	5255634	43.33	378644	185715	5	10	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
BFR_KZ07	Bacteroides	28	5175039	64	3	4358	1	1	GCA_014042525.1_ASM1404252v1_genomic.fna	Genbank	Isolate	SAMN15648894	Kazakhstan	Asia	Homo sapiens	pus	Peritonitis	10/07/2019	51.18	71.45	28	26	23	23	20	19	5175039	5173793	5165567	5165567	5123880	5074878	28	644423	5175039	43.24	379532	220777	5	10	1.74	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
Brf_GUT04	Bacteroides	2	5419725	73	18	4504	1	2	GCA_008369705.1_ASM836970v1_genomic.fna	Genbank	Isolate	SAMN12675660	South Korea	Asia	Homo sapiens	faeces	NA	03/08/2019	NA	NA	2	2	2	2	2	2	5419725	5419725	5419725	5419725	5419725	5419725	2	5330584	5419725	43.13	5330584	5330584	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage O	O	#cf9cb3
BFR_KZ08	Bacteroides	40	5243270	64	3	4346	1	2	GCA_014042445.1_ASM1404244v1_genomic.fna	Genbank	Isolate	SAMN15648895	Kazakhstan	Asia	Homo sapiens	pus	Peritonitis	28/08/2019	51.19	71.46	40	31	28	26	23	21	5243270	5238427	5234261	5222115	5170919	5089311	34	1098546	5240744	43.24	311478	254175	5	10	1.91	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
BFR_KZ09	Bacteroides	53	5125231	63	6	4215	1	1	GCA_014042455.1_ASM1404245v1_genomic.fna	Genbank	Isolate	SAMN15648896	Kazakhstan	Asia	Homo sapiens	pus	Peritonitis	04/10/2019	51.2	71.47	53	46	40	35	30	26	5125231	5121612	5105115	5072570	4980275	4848009	48	501904	5123243	43.45	290748	140153	7	14	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage B	B	#895b39
BFR_KZ10	Bacteroides	36	5242965	63	4	4307	1	1	GCA_014042465.1_ASM1404246v1_genomic.fna	Genbank	Isolate	SAMN15648897	Kazakhstan	Asia	Homo sapiens	pus	Peritonitis	19/10/2019	51.21	71.48	36	30	26	25	23	21	5242965	5239893	5226809	5218931	5189470	5102086	33	624044	5241767	43.14	397964	233722	6	10	1.91	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage N	N	#b84ccb
BFR_KZ11	Bacteroides	32	5236934	63	6	4378	1	1	GCA_014042415.1_ASM1404241v1_genomic.fna	Genbank	Isolate	SAMN15648898	Kazakhstan	Asia	Homo sapiens	pus	Peritonitis	03/11/2019	51.22	71.49	32	28	27	25	22	21	5236934	5234966	5233116	5222369	5166814	5137914	29	723807	5235751	43.4	407555	187370	5	10	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage C	C	#d58840
BFR_KZ12	Bacteroides	92	5321320	64	4	4463	1	NA	GCA_014042405.1_ASM1404240v1_genomic.fna	Genbank	Isolate	SAMN15648899	Kazakhstan	Asia	Homo sapiens	pus	Peritonitis	20/11/2019	51.23	71.5	92	45	39	39	36	31	5321320	5296708	5285644	5285644	5234943	5051518	64	519253	5309808	43.38	182180	96541	8	17	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
ERR748050_bin_3	Bacteroides	42	5277783	65	3	4405	1	2	GCA_015551365.1_ASM1555136v1_genomic.fna	Genbank	MAG	SAMEA7847861	Germany	Europe	Homo sapiens	faeces	NA	21/01/2021	NA	NA	41	41	37	36	34	28	5063915	5063915	5051328	5044188	5022345	4818376	41	614932	5063915	43.18	219071	110436	7	16	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	lineage O	O	#cf9cb3
SRR341607_bin_2	Bacteroides	6	5141158	72	17	4260	1	2	GCA_014893755.1_ASM1489375v1_genomic.fna	Genbank	MAG	SAMEA7847930	China	Asia	Homo sapiens	faeces	NA	21/01/2021	NA	NA	66	66	66	61	49	33	4810658	4810658	4810658	4776197	4565753	3953476	66	375310	4810658	43.4	119887	63057	13	27	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
MMRS77321055ST_27_0_0	Bacteroides	33	5173970	64	NA	4386	2	2	GUT_GENOME246668	UHGG	MAG	SAMEA3879505	USA	North America	Homo sapiens	faeces	NA	1985/1987	39	-77	33	33	32	30	28	24	5173970	5173970	5169087	5156635	5116610	4969292	33	595519	5173970	43.32	277345	162821	7	12	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage A	A	#cf453f
MMRS72980899ST_27_0_0	Bacteroides	154	5603209	38	1	4673	2	NA	GUT_GENOME246559	UHGG	MAG	SAMEA3879567	USA	North America	Homo sapiens	faeces	NA	1985/1987	39	-77	154	154	132	105	67	33	5603209	5603209	5532821	5345616	4726356	3549290	154	327844	5603209	42.78	64853	33307	21	50	0	o__Bacteroidales_(UID2657)	97.06	4.15	15	1	lineage K	K	#7f74d2
MMRS62192467ST_27_0_0	Bacteroides	29	5307461	46	2	4452	2	2	GUT_GENOME041321	UHGG	MAG	SAMEA3879589	USA	North America	Homo sapiens	faeces	NA	1985/1987	39	-77	29	29	29	29	28	21	5307461	5307461	5307461	5307461	5285015	5001233	29	788480	5307461	43.49	301823	167589	6	12	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage O	O	#cf9cb3
MMRS97327636ST_27_0_0	Bacteroides	111	5036235	48	2	4162	1	3	GUT_GENOME041977	UHGG	MAG	SAMEA3879609	USA	North America	Homo sapiens	faeces	NA	1985/1987	39	-77	111	111	100	84	63	39	5036235	5036235	4996450	4869338	4498106	3600089	111	207234	5036235	43.47	73533	45730	22	43	0	o__Bacteroidales_(UID2657)	98.88	0	0	1	lineage O	O	#cf9cb3
MMRS68910755ST_27_0_0	Bacteroides	51	5038567	43	NA	4176	1	2	GUT_GENOME246438	UHGG	MAG	SAMEA3879533	USA	North America	Homo sapiens	faeces	NA	1985/1987	39	-77	51	51	51	49	43	30	5038567	5038567	5038567	5024439	4919353	4434727	51	498511	5038567	43.22	168431	79051	9	20	0	o__Bacteroidales_(UID2657)	98.64	0.37	0	1	origin	origin	#c9c493
MMRS64281211ST_27_0_0	Bacteroides	63	4908831	39	1	4014	1	1	GUT_GENOME041150	UHGG	MAG	SAMEA3879584	USA	North America	Homo sapiens	faeces	NA	1985/1987	39	-77	63	63	63	58	42	29	4908831	4908831	4908831	4871991	4593238	4120468	63	696838	4908831	43.33	129968	75658	11	23	0	o__Bacteroidales_(UID2657)	97.83	0	0	1	origin	origin	#c9c493
CCIS58234805ST_4_0	Bacteroides	52	4923447	72	NA	4090	1	2	GUT_GENOME284181	UHGG	MAG	SAMEA2466926	France	Europe	Homo sapiens	faeces	Cancer	2004/2006	NA	NA	52	52	52	51	45	33	4923447	4923447	4923447	4913929	4808270	4371474	52	307212	4923447	43.26	154883	75309	12	23	0	o__Bacteroidales_(UID2657)	97.81	1.16	100	1	lineage C	C	#d58840
CCIS76845094ST_20_0	Bacteroides	65	4759189	45	NA	3911	NA	2	GUT_GENOME284669	UHGG	MAG	SAMEA2466946	France	Europe	Homo sapiens	faeces	Cancer	2004/2006	NA	NA	65	65	61	54	42	27	4759189	4759189	4750327	4702176	4526573	3957683	65	526406	4759189	43.39	158498	64038	9	21	0	o__Bacteroidales_(UID2657)	97.8	0	0	1	lineage G	G	#68c668
CCIS41222843ST_4_0	Bacteroides	313	5025962	30	NA	4132	NA	NA	GUT_GENOME283422	UHGG	MAG	SAMEA2466931	France	Europe	Homo sapiens	faeces	Cancer	2004/2006	NA	NA	313	313	216	151	65	20	5025962	5025962	4729001	4233428	2830576	1301502	313	97445	5025962	43.32	28198	14899	53	113	0	o__Bacteroidales_(UID2657)	94.95	0.56	100	1	origin	origin	#c9c493
591_4M	Bacteroides	46	4888029	58	1	4006	1	2	GUT_GENOME062155	UHGG	MAG	SAMEA2580234	Denmark	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	46	46	44	41	36	27	4888029	4888029	4879583	4858862	4754213	4420799	46	457903	4888029	43.26	182799	111480	9	18	0	o__Bacteroidales_(UID2657)	98.81	0.37	0	1	lineage A	A	#cf453f
582_12M	Bacteroides	44	4883564	60	NA	4046	1	2	GUT_GENOME006126	UHGG	MAG	SAMEA2580213	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	44	44	42	40	35	30	4883564	4883564	4879472	4862444	4777512	4579429	44	689896	4883564	43.28	192429	105817	8	17	0	o__Bacteroidales_(UID2657)	97.4	0.19	100	1	lineage A	A	#cf453f
MetaHIT_MH0068	Bacteroides	201	4699576	33	NA	3847	1	1	GUT_GENOME108442	UHGG	MAG	SAMEA2153740	Denmark	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	201	201	156	123	71	25	4699576	4699576	4568876	4328075	3520616	1938976	201	137018	4699576	43.18	40343	23155	35	72	0	o__Bacteroidales_(UID2657)	95.5	0.74	50	1	lineage B	B	#895b39
565_4M	Bacteroides	41	5025962	60	NA	4077	1	3	GUT_GENOME005816	UHGG	MAG	SAMEA2580190	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	41	41	41	39	33	25	5025962	5025962	5025962	5008958	4887873	4582191	41	603493	5025962	43.18	204696	115215	7	16	0	o__Bacteroidales_(UID2657)	99.26	0.38	33.33	1	lineage D	D	#c96744
282_12M	Bacteroides	115	4777809	60	8	3915	1	2	GUT_GENOME077373	UHGG	MAG	SAMEA2580053	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	115	115	89	81	60	37	4777809	4777809	4725388	4670594	4318346	3465315	115	216761	4777809	43.58	75705	47581	21	40	0	o__Bacteroidales_(UID2657)	94.37	0.21	50	1	lineage D	D	#c96744
526_4M	Bacteroides	102	5202136	63	NA	4300	1	NA	GUT_GENOME078740	UHGG	MAG	SAMEA2580154	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	102	102	77	67	50	31	5202136	5202136	5149883	5084878	4819673	4115645	102	288225	5202136	43.37	126526	61870	13	28	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage E	E	#baff69
137_M	Bacteroides	113	5165461	50	NA	4276	1	NA	GUT_GENOME002479	UHGG	MAG	SAMEA2579937	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	113	113	93	72	52	37	5165461	5165461	5106001	4953043	4620827	4032411	113	361267	5165461	43.35	89130	55794	16	34	0	o__Bacteroidales_(UID2657)	96.44	0.84	66.67	1	lineage E	E	#baff69
137_12M	Bacteroides	65	4950150	54	NA	4143	1	NA	GUT_GENOME002438	UHGG	MAG	SAMEA2579934	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	65	65	60	57	46	33	4950150	4950150	4933862	4911508	4725608	4230379	65	421539	4950150	43.41	144738	72146	11	25	0	o__Bacteroidales_(UID2657)	98.38	0.74	0	1	lineage E	E	#baff69
137_4M	Bacteroides	52	5390786	60	1	4582	1	NA	GUT_GENOME002445	UHGG	MAG	SAMEA2579935	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	52	52	49	48	39	32	5390786	5390786	5380797	5370909	5218892	4950127	52	491206	5390786	44.03	183103	94344	10	20	0	o__Bacteroidales_(UID2657)	97.77	0.37	0	1	lineage E	E	#baff69
MetaHIT_MH0186	Bacteroides	146	4836121	38	NA	3939	NA	1	GUT_GENOME055164	UHGG	MAG	SAMEA2142525	Denmark	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	146	146	127	115	70	30	4836121	4836121	4772285	4690853	3972744	2481651	146	245391	4836121	43.34	50541	31118	29	58	0	o__Bacteroidales_(UID2657)	93.6	0.43	0	1	lineage F	F	#53743b
MH0186	Bacteroides	146	4696552	22	1	3837	1	NA	GUT_GENOME051797	UHGG	MAG	SAMEA2042740	Denmark	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	146	146	131	113	60	27	4696552	4696552	4645286	4521327	3637214	2488976	146	205697	4696552	43.58	52665	27223	25	56	0	o__Bacteroidales_(UID2657)	91.51	0.68	0	1	lineage F	F	#53743b
350_B	Bacteroides	137	4980829	59	1	4104	1	3	GUT_GENOME077761	UHGG	MAG	SAMEA2580087	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	137	137	101	87	66	35	4980829	4980829	4888051	4789318	4444477	3296156	137	239377	4980829	43.17	66316	41030	22	45	0	o__Bacteroidales_(UID2657)	91.8	2.56	7.69	1	lineage F	F	#53743b
O2_UC34_2	Bacteroides	109	4695318	32	1	3771	1	2	GUT_GENOME135295	UHGG	MAG	SAMEA2042988	Spain	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	109	109	96	84	56	34	4695318	4695318	4660257	4573417	4119229	3339030	109	308338	4695318	43.37	77396	43810	19	38	0	o__Bacteroidales_(UID2657)	95.74	0.42	50	1	lineage F	F	#53743b
511_4M	Bacteroides	134	5027002	59	3	4226	NA	1	GUT_GENOME078582	UHGG	MAG	SAMEA2580143	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	134	134	85	68	53	27	5027002	5027002	4921801	4796850	4539160	3580967	134	344385	5027002	43.47	96316	45996	13	31	0	o__Bacteroidales_(UID2657)	90.65	0.02	100	1	lineage G	G	#68c668
MetaHIT_MH0227	Bacteroides	131	4708457	30	NA	3843	NA	2	GUT_GENOME111435	UHGG	MAG	SAMEA2161897	Denmark	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	131	131	112	96	70	35	4708457	4708457	4647249	4520738	4074959	2863949	131	192423	4708457	43.31	62217	34598	27	52	0	o__Bacteroidales_(UID2657)	94.42	0	0	1	lineage G	G	#68c668
546_12M	Bacteroides	63	5111435	49	1	4239	2	NA	GUT_GENOME005673	UHGG	MAG	SAMEA2580177	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	63	63	61	58	47	38	5111435	5111435	5107918	5087451	4903538	4567898	63	291121	5111435	43.38	128690	75691	14	27	0	o__Bacteroidales_(UID2657)	98.43	3.72	42.86	1	lineage I	I	#7bccbc
546_4M	Bacteroides	42	5232047	62	NA	4452	2	NA	GUT_GENOME005693	UHGG	MAG	SAMEA2580178	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	42	42	40	39	34	28	5232047	5232047	5226562	5220359	5133232	4920406	42	508724	5232047	43.32	186179	144326	10	18	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage I	I	#7bccbc
7_M	Bacteroides	70	5243679	63	1	4435	1	NA	GUT_GENOME007204	UHGG	MAG	SAMEA2580292	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	70	70	65	58	46	34	5243679	5243679	5230692	5187431	5016050	4592391	70	368535	5243679	43.42	152166	77775	12	24	0	o__Bacteroidales_(UID2657)	99.01	0.37	0	1	lineage K	K	#7f74d2
150_B	Bacteroides	82	4867517	57	2	4116	1	NA	GUT_GENOME075965	UHGG	MAG	SAMEA2579941	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	82	82	76	70	58	37	4867517	4867517	4847060	4805502	4617202	3866470	82	306096	4867517	43.24	92621	59611	17	34	0	o__Bacteroidales_(UID2657)	93.31	0	0	1	lineage L	L	#0016b4
503_12M	Bacteroides	54	5039341	52	NA	4183	1	NA	GUT_GENOME005014	UHGG	MAG	SAMEA2580129	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	54	54	49	44	39	31	5039341	5039341	5026613	4986577	4909094	4608360	54	500941	5039341	43.21	181500	83387	8	18	0	o__Bacteroidales_(UID2657)	99.11	0.12	0	1	lineage L	L	#0016b4
570_4M	Bacteroides	46	5031934	61	NA	4182	1	NA	GUT_GENOME005967	UHGG	MAG	SAMEA2580202	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	46	46	41	40	31	23	5031934	5031934	5016384	5008511	4843974	4570897	46	623182	5031934	43.09	265706	105773	6	13	0	o__Bacteroidales_(UID2657)	98.22	0.37	100	1	lineage L	L	#0016b4
503_4M	Bacteroides	100	5022454	58	2	4171	1	NA	GUT_GENOME078380	UHGG	MAG	SAMEA2580130	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	40.41663279	-3.703765869	100	100	70	62	51	33	5022454	5022454	4963095	4907048	4717261	4052162	100	402974	5022454	43.29	112938	59611	13	28	0	o__Bacteroidales_(UID2657)	94.21	0.19	100	1	lineage L	L	#0016b4
150_M	Bacteroides	78	4766181	47	1	3872	1	NA	GUT_GENOME002536	UHGG	MAG	SAMEA2579942	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	78	78	74	69	51	34	4766181	4766181	4755480	4719141	4414189	3797971	78	238717	4766181	43.27	108791	58321	15	30	0	o__Bacteroidales_(UID2657)	97.85	0.74	50	1	lineage L	L	#0016b4
150_12M	Bacteroides	68	5067669	63	1	4243	1	NA	GUT_GENOME002506	UHGG	MAG	SAMEA2579939	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	68	68	66	64	46	28	5067669	5067669	5060689	5045774	4715969	4074929	68	389556	5067669	43.22	146052	66605	12	24	0	o__Bacteroidales_(UID2657)	97.78	0	0	1	lineage L	L	#0016b4
150_4M	Bacteroides	41	4978958	67	1	4197	1	NA	GUT_GENOME002514	UHGG	MAG	SAMEA2579940	Sweden	Europe	Homo sapiens	faeces	NA	2008/2010	55.676097	12.568337	41	41	41	40	33	26	4978958	4978958	4978958	4970231	4833936	4600388	41	593156	4978958	43.12	193713	116438	8	16	0	o__Bacteroidales_(UID2657)	94.8	0	0	1	lineage L	L	#0016b4
